01-OpHi,01-OpLo,01-OpCl,01-Vol,02-OpHi,02-OpLo,02-OpCl,02-Vol,03-OpHi,03-OpLo,03-OpCl,03-Vol,04-OpHi,04-OpLo,04-OpCl,04-Vol,05-OpHi,05-OpLo,05-OpCl,05-Vol,06-OpHi,06-OpLo,06-OpCl,06-Vol,07-OpHi,07-OpLo,07-OpCl,07-Vol,08-OpHi,08-OpLo,08-OpCl,08-Vol,09-OpHi,09-OpLo,09-OpCl,09-Vol,10-OpHi,10-OpLo,10-OpCl,10-Vol,11-OpHi,11-OpLo,11-OpCl,11-Vol,12-OpHi,12-OpLo,12-OpCl,12-Vol,13-OpHi,13-OpLo,13-OpCl,13-Vol,14-OpHi,14-OpLo,14-OpCl,14-Vol,15-OpHi,15-OpLo,15-OpCl,15-Vol,StdSlpSMA13,StdSlpSMA55,Max13m,Min13m
1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.859934,0.000038,0.269254,0.616657,1.000000,0.000000,0.310392,0.007793,0.937391,0.000000,0.310392,0.112820,0.961578,0.019804,0.324050,0.182412,0.905225,0.000000,0.294002,0.762828,0.600402,0.613311,0.118752,0.904874
0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.859934,0.000038,0.269254,0.616657,1.000000,0.000000,0.310392,0.007793,0.937391,0.000000,0.310392,0.112820,0.961578,0.019804,0.324050,0.182412,0.543962,0.617778,0.118752,0.904874
1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.859934,0.000038,0.269254,0.616657,1.000000,0.000000,0.310392,0.007793,0.937391,0.000000,0.310392,0.112820,0.605469,0.675988,0.101787,0.930727
1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.859934,0.000038,0.269254,0.616657,1.000000,0.000000,0.310392,0.007793,0.585455,0.599126,0.107442,0.934989
0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.859934,0.000038,0.269254,0.616657,0.613069,0.622929,0.168827,0.981248
1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.999715,0.059724,0.317072,0.827669,0.613126,0.658993,0.113097,0.936162
0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,1.000000,0.000000,0.310392,0.034899,0.651193,0.682983,0.166813,0.976643
0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,1.000000,0.237978,0.310545,0.891058,0.658784,0.714543,0.056802,0.859364
1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.616027,0.049259,0.105758,0.958346,0.685141,0.680883,0.000000,0.820819
1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,1.000000,0.292419,0.512067,0.310163,0.658785,0.704675,0.000000,0.820819
